combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
KAZE+KAZE+1.40,46.320689655172416,51.58094328208048,0.23509482758620687,0.2611455443197791,92434,26866,16749,0.4158705965034504,0.21309570934994265,0.41374070897389303,0.35786613082896096,0.02909150193661828,0.30342103811464605,0.5173570584392679,0.3881582692595264,0.508206405870161,0.7492980608283077
ORB+ORB+1.40,57.036206896551725,53.90170235388534,0.2851810344827586,0.26950851176942675,98955,33081,16173,0.39427759147846136,0.19976583372890694,0.3770854600404646,0.2935264151131967,0.028692240873782724,0.22968344358282633,0.4905104720996962,0.25939115435708043,0.5085932966966722,0.7211507785762087
SIFT+SIFT+1.40,29.155172413793103,39.109087807160684,0.14577586206896553,0.19554543903580343,94720,16910,12989,0.35450704047750436,0.17530314275231668,0.3822885997521799,0.3057935227278867,0.03226903981788703,0.30529463023096737,0.5214546649243857,0.4050275708718925,0.5075652038687323,0.5925691921894937
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.40,37.31206896551724,41.51203638325756,0.20685632071444976,0.22712933080072428,92087,21641,16220,0.4309689321151767,0.2390105589155155,0.44113168352041704,0.3719629542137786,0.03508844442644432,0.36041580329723105,0.607326047490756,0.4476005294526389,0.588177900584501,0.6991193525809988
KAZE+KAZE+1.60,47.6551724137931,51.78475069246368,0.24178017241379307,0.26210168703815345,92434,27640,16980,0.41734142686641595,0.21664269047540913,0.415867047387735,0.35629055830015177,0.029140922569220996,0.30014350243149535,0.5373186802281171,0.3828397656263584,0.5329568652898559,0.7232864355689119
ORB+ORB+1.60,59.65172413793103,54.07666410269428,0.2982586206896552,0.2703833205134714,98955,34598,16537,0.39004270404835284,0.20332960355426585,0.37763239568072215,0.2874503269086403,0.028914672872077062,0.22716188881505897,0.4909623308976806,0.24512757595518414,0.5080706751946817,0.6932347684726051
SIFT+SIFT+1.60,29.92241379310345,39.35605611331365,0.14961206896551724,0.19678028056656824,94720,17355,13166,0.35984924566778487,0.17743396785862148,0.3875274949707364,0.30870852434624085,0.0324528979690934,0.3065599135814921,0.5201630058046578,0.409694985916834,0.5052697035131142,0.5911821063627485
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.60,38.58965517241379,41.57897217906307,0.21364711658606497,0.22749961781923572,92087,22382,16385,0.4317344529140765,0.2411887271176597,0.4423410972685928,0.37036751525376227,0.03518515612241174,0.3585125280495502,0.6088688562424603,0.4464056380227206,0.5911704388292655,0.6764989463281349
KAZE+KAZE+1.80,48.87931034482759,51.89195591977188,0.24793965517241381,0.2626538149940251,92434,28350,17162,0.41878065305885553,0.21820753135304946,0.4181896185053688,0.3559818752500505,0.028907634208806206,0.2999212812165228,0.5294668536730851,0.38348493872189654,0.5203325748091931,0.7023546112270161
ORB+ORB+1.80,62.01724137931034,54.15943620756263,0.3100862068965517,0.2707971810378132,98955,35970,16967,0.39111927211292613,0.2070865562769108,0.3780864351115922,0.2866141401061437,0.029009006340493502,0.22449834207584393,0.49741152993099963,0.2426879516922384,0.5051422967996161,0.6441386480426812
SIFT+SIFT+1.80,30.54655172413793,39.533350022120096,0.15273275862068966,0.19766675011060045,94720,17717,13301,0.36234854770853003,0.179258491859119,0.3961806600018693,0.3098832727476709,0.032749043546626055,0.31082946743806383,0.5334703640255741,0.40928957842850955,0.5144950486289197,0.5751823442945508
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.80,39.74655172413793,41.66479004493727,0.21982525448128196,0.22812321030306812,92087,23053,16503,0.4328567992960407,0.24303662354300787,0.4428785662497937,0.36910242909295127,0.03495892102967542,0.35730940362241526,0.6224594436435045,0.44504621866453065,0.6096295907630049,0.6549624530303264
