combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
GFTT+BRISK 12,0,0.5225783120487283,0.20032797216303388,267382,149770,79952,0.2990178845247623,0.5338318755424984,36.0,0.0,0.0,36.0,36.0,36.0,1.0,341366,695.2347826086957,0.6154918800296463,1.0243257027997112,2.1814309071074867,4.100126410902753,0.4301956173704223,0.04222797346119036,0.0015384230538322994,0.8025673127186602,0.3695493803513196,0.773504649670309,0.6566605919425738,0.02444426651438632
GFTT+SIFT 12,0,0.5163373913043477,0.20076435915330734,228171,148447,103130,0.4519855722243405,0.6947260638477032,36.0,0.0,0.0,36.0,36.0,36.0,1.0,343877,896.7826086956521,0.6231704456267301,1.0422835495394516,1.6996702823278174,6.580608403346613,0.866508290507127,0.09681335489610862,0.004440996800155144,0.7980228650645237,0.5006300181167858,0.7375999635652275,0.3990054736644,-0.0034254438343494465
GFTT+FREAK 12,0,0.5254026316658774,0.21005491333482915,241860,140259,84337,0.34870172827255436,0.6012947475741307,36.0,0.0,0.0,36.0,36.0,36.0,1.0,320700,733.3652173913043,0.615844057478561,1.0169193642678838,1.9812192039309624,4.319064748201439,0.5387196604100217,0.04718018688497478,0.0027034397713933387,0.8021219627589405,0.42126630316803865,0.770367932541611,0.5823408939416962,0.01961673368070856
ORB+SIFT 12,0,0.48011096034400375,0.20941075901716377,248545,137897,46755,0.18811482830071014,0.33905741241651377,638.7987083414339,263.94701874037423,0.41319278717028374,372.0,1332.943603515625,605.6172618713803,0.9480564909778773,344299,406.5652173913044,0.5528134367614965,1.029053091879666,1.8952076474009325,5.627061497917882,1.1628916693401776,0.07122653845380113,0.007892204042348411,0.40597500193127983,0.23453759152806822,0.3416064638448951,0.5057365145244801,0.13635543461925606
SIFT+BRISK 12,0,0.45336673423749596,0.18002922682402106,259124,125496,66657,0.2572397770951359,0.5311484031363549,47.57695654902586,54.27829300045683,1.1408525668203586,21.568918228149414,3305.8067626953125,47.426074983034326,0.996828683948372,332042,579.6260869565217,0.5924316903197359,1.011579950539147,2.3683705187830215,4.334681465244439,0.28753169209535384,0.04430697272348374,0.0011701696746028174,0.8153172529309101,0.347105233351661,0.7652431229314028,0.5830283524640832,0.03012400816536832
SIFT+SIFT 12,0,0.45168919601198193,0.17528948241755726,253711,128747,76147,0.30013282829676285,0.5914467909931882,67.89558082759805,99.52857229233472,1.4659064858000088,21.58268928527832,5275.18896484375,65.61568676634955,0.9664205824081886,340725,662.1478260869566,0.5845252887990436,1.006510255390701,2.0318431729001563,5.086712834681981,0.25671398741907103,0.06432121587160194,0.0011031294732556766,0.7964284045222589,0.3783351927986707,0.7690903860228108,0.535791718076921,0.008750294029598479
SIFT+FREAK 12,0,0.44532728028073826,0.18423552857128062,243887,119043,68965,0.2827743996194959,0.5793284779449442,41.943764992542945,54.99436250846318,1.3111451134212788,21.571656227111816,5275.18896484375,41.604260597624496,0.9919057243674045,321194,599.695652173913,0.5807042231892454,1.0157159406233753,2.2346421618312,4.603004670195624,0.3640977307329805,0.04919081377851218,0.001334010005075038,0.8041920664928666,0.36842493952072647,0.7579521120748957,0.5262670930279832,0.04208573713667554
SIFT SIG 4.8+SIFT SIG 4.8 12,0,0.41918861566315363,0.16455238709384995,215254,100302,55096,0.2559580774341011,0.5493011106458495,155.50858154919976,162.49257357386674,1.0449106535156543,64.81531524658203,5495.450927734375,148.4091360507033,0.9543469213867767,289497,479.09565217391304,0.5846498351413735,1.0337283242784034,1.9245634646279075,3.9697752422719206,0.18818063017278933,0.04440335603519563,0.00047190358646725716,0.7154877445380875,0.3565905291562797,0.6664776073972096,0.46641996901659866,0.041352043412548695
AKAZE+AKAZE 16,0,0.5472319019897662,0.20123384985622564,255929,147902,28587,0.11169894775504144,0.19328339035307163,149.46042877563102,85.75222858571215,0.5737453671730248,76.80000305175781,1033.2935791015625,140.95437676034126,0.9430882670083933,327462,248.58260869565217,0.7033368859388451,0.9042747642517739,2.4703758001767837,4.024561499478371,0.697694756357785,0.039604734125480115,0.0031832651205093224,0.22270983736814168,0.14362237872324154,0.3503166403253197,0.5727141322393737,0.06142123131654691
AKAZE+SIFT 16,0,0.5472319019897662,0.20123384985622564,240818,147902,65487,0.27193565265054936,0.442772917201931,147.56967885606562,84.80181511038691,0.5746560930928072,76.80000305175781,1033.2935791015625,141.0270483253555,0.9556641270657533,327462,569.4521739130435,0.5902114784489484,1.0025966187213262,1.8885843101238704,4.4177636223205905,0.3851909539297876,0.051665573171440674,0.0014353993922457892,0.6292473313782865,0.3211933719146146,0.6015746745998183,0.4699558523178015,-0.0013317095887556154
GFTT+BRISK 16,0,0.5243621256025423,0.2025864104099996,262395,149104,78578,0.29946454772385145,0.5270012876918124,48.0,0.0,0.0,48.0,48.0,48.0,1.0,338530,683.2869565217392,0.6065833597769957,1.0077524455486584,2.162570900092868,4.3976562053392785,0.5368423731833337,0.04603746260408925,0.0018580264196085417,0.8103184605403774,0.3616344349706731,0.7489032259419497,0.6139518753002816,0.030396686706053826
GFTT+SIFT 16,0,0.5163373913043477,0.20076435915330734,225703,148447,94027,0.41659614626300934,0.6334045147426354,48.0,0.0,0.0,48.0,48.0,48.0,1.0,343877,817.6260869565217,0.6093731916863216,1.041076250711153,1.7045437127291831,6.73316703809874,0.9960117838493199,0.09726055923049318,0.003796781775447478,0.7463129488208988,0.45915479968373013,0.6695581420627827,0.37511146384606514,-0.01241263991690522
GFTT+FREAK 16,0,0.5289214846077904,0.21338839114591576,215144,125769,75293,0.3499656044323802,0.5986610372985394,48.0,0.0,0.0,48.0,48.0,48.0,1.0,290028,654.7217391304348,0.6148135312066502,1.0232915144486132,1.9568899857870614,4.5758608188004315,0.6115309524125748,0.05133770869743056,0.002616445087856773,0.8010365049617829,0.42531889655568483,0.7449930816886368,0.5425860657689427,0.02927740791111457
ORB+SIFT 16,0,0.48011096034400375,0.20941075901716377,247988,137897,44465,0.1793030307918125,0.3224508147385367,851.2331499315426,349.827067421703,0.41096504224469715,496.0,1777.2581787109375,801.0059066911442,0.940994728360335,344299,386.6521739130435,0.5498324759733285,1.0333993242618937,1.926672760422751,5.7924375373001915,1.290340717418194,0.07364066003193703,0.00928820420555493,0.38662737037855954,0.2245202505121531,0.3245411388825959,0.49968920499980396,0.16149212571089686
SIFT+BRISK 16,0,0.45175080585930116,0.18137226832674436,255721,123985,64995,0.25416371748898214,0.5242166391095697,60.7581217043943,72.69795180494896,1.1965141410829874,28.758557319641113,4407.742431640625,59.04381326679377,0.9717847031884703,329344,565.1739130434783,0.6009279533736608,1.0100254197676388,2.3614628188332523,4.43139202490214,0.3564120316947457,0.04468150836262959,0.0013539503038695285,0.8091123645047712,0.3375931043895029,0.7473153231870343,0.5699860538121937,0.03313820868388195
SIFT+SIFT 16,0,0.45168919601198193,0.17528948241755726,253861,128747,71498,0.2816423160706056,0.5553372117408562,90.12686034654763,132.34273287083056,1.4684050055883262,28.776918411254883,7033.585205078125,87.14403635681437,0.966904161775258,340725,621.7217391304348,0.581112854081319,1.0031557985137276,2.0178683511322637,4.928074812594294,0.2752244818036868,0.06134065492533315,0.001328708495342527,0.7564777314247125,0.3544911891078875,0.7196932687894514,0.5096441956961403,0.007312730187991005
SIFT+FREAK 16,0,0.43927088314993784,0.1860587330061531,231056,111278,64452,0.27894536389446717,0.5791980445371052,54.938387199061026,78.11977715369979,1.4219525023667778,28.762207984924316,7033.585205078125,53.12416652581667,0.9669771763289884,308192,560.4521739130435,0.5860198530177351,1.0172253537893738,2.22138490032444,4.7440836853403505,0.42920312790914167,0.0510222630011772,0.001768758145596723,0.7989049301969332,0.3625911260730818,0.7352007560856888,0.5229722443665651,0.04882438796091766
SIFT SIG 4.8+SIFT SIG 4.8 16,0,0.41918861566315363,0.16455238709384995,215711,100302,50058,0.2320604883385641,0.4990728001435664,206.82484597982636,215.73799604383106,1.0430951611339485,86.36009979248047,7327.267822265625,198.8872221022686,0.9616215167962363,289497,435.2869565217391,0.5777048067764798,1.0262483188672213,1.9097804207106595,3.7297727051471643,0.2001078748651564,0.040415185131958964,0.0005793279795437293,0.6476217108066444,0.326006217393662,0.5992035330096692,0.43950610567839615,0.05693035379800242
