combination,speed [images/second],repeatability: mean [%],repeatability std,total number of matches,number of possible correct matches,total number of correct matches,ratio correct/total matches,ratio correct/possible correct matches, keypoint size: mean [pixels],size std,size normalized std,size min,size max,size unique count,size correct: avg,keypoint size correct/all ratio,total number of keypoints,correct matches per sequence: mean,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP [%],Matching average response mAP [%],Matching distinctiveness mAP [%],Verification distance AP [%],Verification average response AP [%],Verification distinctiveness AP [%],Retrieval distance mAP [%],Retrieval average response mAP [%],Retrieval distinctiveness mAP [%],distance-to-distinctiveness correlation
ORB+ORB 16,0,0.7042967606306737,0.21465006420316657,271819,202280,126634,0.4658761896703321,0.6260332212774372,862.5783934244299,299.82804238922023,0.3475951225707209,496.0,1777.2581787109375,36,875.5588811744285,1.0150484730998954,344299,1101.1652173913044,390.44957210296377,0.8039938022881197,1.0537803979079812,0.2060247836965094,0.34422681943832606,1.6708029648772695,3.661631453283251,7.627112252563949,1.9175260988360157,5.582406556952294,0.03507848973029847,0.016828024069365257,0.7803986191424012,0.4958551640886058,0.7838391875903146,0.5710140264182151,0.10307127771574359,0.5527677327828793,0.39615068520980057,0.10596658493223761,0.5423743019856972,0.8561595518608046
SIFT+SIFT 16,0,0.5011638868867888,0.1870466810611622,257846,142820,78481,0.30437160165370025,0.5495098725668673,90.80007857565049,123.81127911556632,1.3635591626984376,28.773035049438477,7033.585205078125,238935,104.79035324353517,1.1540777815101626,340725,682.4434782608696,326.4144922002338,0.5600256653417266,1.01150031738793,0.4893938256997474,0.919956622960582,1.8797879634979155,3.930830805984968,8.399781983923466,0.22752003669678011,1.7917304658532114,0.043235109328824184,0.0014016131292924402,0.7863311561003793,0.3893819947999979,0.8522653791021945,0.670579605936123,0.07757148003647446,0.7374406622501801,0.8933313684076963,0.5341620921650968,0.8928568043439893,0.6136558999901431
AKAZE+AKAZE 32,0,0.6757570747649958,0.21776728617075516,255767,183148,102476,0.4006615396044056,0.5595256295455042,295.3962730243623,151.36821091469852,0.5124242407155039,153.60000610351562,2066.587158203125,112,304.0622072410814,1.0293366403306123,327462,891.0956521739131,353.24700002204503,0.6551407615279159,1.0378387713643948,0.40667243407415044,0.7519834896743816,1.8491135043032423,3.2386664425043103,7.345623788168159,0.6016335532222179,3.1189115505494187,0.031735915892198756,0.004742573870955151,0.8563173156762612,0.48865374761519753,0.8683641911210703,0.7040389512241851,0.09591805944495645,0.703494030479472,0.7488632821161868,0.23961546179666565,0.7990514866758748,0.7975649283350915
BRISK+BRISK 32,0,0.7045713131282606,0.2091492351320804,264832,197957,108857,0.41104171701304976,0.5499022514990629,678.4359873549957,358.4999153479467,0.5284211363044329,268.79998779296875,2304.0,247675,697.3824081079578,1.0279266151944977,338095,946.5826086956522,374.1361059621205,0.7631758341111816,1.0245999545735298,0.34555662534608506,0.5921463052726628,1.713601366142556,3.7249388291445142,7.81982128412173,1.5365846936807004,5.063582018786444,0.03708388714354761,0.013017077450232874,0.7807381363336015,0.49979925297689326,0.7738345600090528,0.6096457917566822,0.1261054963561711,0.5617931175303068,0.5716522150409619,0.12917327183244634,0.6495395721530786,0.796567183832615
ORB+ORB 32,0,0.7167913234591496,0.23646627409310952,271819,205871,142690,0.524944908192584,0.6931039340169329,1725.1567868488598,599.6560847784405,0.3475951225707209,992.0,3554.516357421875,36,1674.8895212038587,0.9708622045090647,344299,1240.7826086956522,432.977191539225,0.8643371454228328,1.0698364901074429,0.2060247836965094,0.30088034389889745,1.4604084930972077,3.661631453283251,7.627112252563949,2.5442007148363586,6.460089892059899,0.03507848973029847,0.023344312846029856,0.7487847437502504,0.561308252117538,0.7446938931358862,0.5146172695900232,0.11496223704550806,0.4827813878162991,0.3447497848767449,0.07724993972578946,0.5092056170968334,0.8713776069849946
SIFT+SIFT 32,0,0.5730231885037428,0.195672527548834,257846,163317,82618,0.32041606230075315,0.5058750773036488,181.60015715130098,247.62255823113264,1.3635591626984376,57.54607009887695,14067.17041015625,238935,206.75655374601084,1.1385262930898825,340725,718.4173913043478,327.4928205680691,0.5816957476575895,1.0152578981413511,0.4893938256997474,0.8930709480051351,1.8248512774516519,3.930830805984968,8.399781983923466,0.4045244377738507,2.595251187645286,0.043235109328824184,0.003328572466048561,0.7894969570364296,0.4049423514291319,0.8414631167043364,0.6492846920992513,0.07950822849181532,0.69390220350309,0.8143055368507662,0.37937120699102034,0.8452247716022461,0.635762898720833
AKAZE+AKAZE 64,0,0.708651802990525,0.21878811542526777,255767,192238,114493,0.44764570878964055,0.595579437988327,590.7925460487246,302.73642182939705,0.5124242407155039,307.20001220703125,4133.17431640625,112,596.9293132063409,1.0103873469607219,327462,995.591304347826,368.25043217075915,0.714828404553209,1.0384104908019292,0.40667243407415044,0.6899608053733629,1.6966008697987118,3.2386664425043103,7.345623788168159,1.0746421178587338,4.320727729904014,0.031735915892198756,0.009424156935358493,0.8427686567692564,0.5272244924718051,0.850613331007225,0.6608577906791191,0.10398390083008308,0.6493311306541732,0.6127957108983664,0.12645063002366344,0.6931817461537308,0.8258599457206113
BRISK+BRISK 64,0,0.710075805840216,0.21313382376876625,264832,199604,128345,0.4846279905751571,0.6429981363098936,1356.8719747099915,716.9998306958934,0.5284211363044329,537.5999755859375,4608.0,247675,1306.9350201745813,0.963197003500582,338095,1116.0434782608695,398.0981393380575,0.8364994174031186,1.0225593924264018,0.34555662534608506,0.5117958607360008,1.481076683809556,3.7249388291445142,7.81982128412173,2.2517745140052203,6.1597142163194745,0.03708388714354761,0.02070980560208812,0.7548794450557105,0.5537105727462353,0.7444516674496539,0.5470707251635606,0.14142267464253414,0.4888580875674067,0.46539947151094685,0.07799678560414959,0.5672699306274399,0.8217131929177729
ORB+ORB 64,0,0.7027426278069756,0.2604749343154852,271819,201832,146183,0.5377953711845015,0.7242805897974554,3450.3135736977197,1199.312169556881,0.3475951225707209,1984.0,7109.03271484375,36,3343.2628252214395,0.9689736175597647,344299,1271.1565217391305,466.99499282865133,0.9070340056000573,1.0396420592077067,0.2060247836965094,0.2725051799034066,1.3226815483754033,3.661631453283251,7.627112252563949,2.942578822434893,6.943400054100136,0.03507848973029847,0.028135966562459383,0.6779705814663444,0.5669897577973102,0.6767926428093262,0.44714824295672906,0.10876520215688369,0.41294006308052167,0.2936999490755915,0.06499154550190038,0.427815185452432,0.8789303751352558
SIFT+SIFT 64,0,0.6374551579969636,0.1993105421742464,257846,181730,89138,0.34570247356949496,0.4904968909921312,363.20031430260195,495.2451164622653,1.3635591626984376,115.0921401977539,28134.3408203125,238935,396.86528889866344,1.0926898278177517,340725,775.1130434782609,333.53674630273576,0.6189459902775316,1.0190495622250493,0.4893938256997474,0.8495683991105647,1.7359605996169463,3.930830805984968,8.399781983923466,0.7266597859498755,3.655552898496022,0.043235109328824184,0.006854540151226189,0.7852264547103551,0.42579661954143794,0.8207056933330591,0.6226382096087666,0.08684677828444722,0.638004622436467,0.6919115703448138,0.23972255094618136,0.7679354518074196,0.6702183905345274
