combination,speed [images/second],repeatability: mean [%],repeatability std,total number of matches,number of possible correct matches,total number of correct matches,ratio correct/total matches,ratio correct/possible correct matches, keypoint size: mean [pixels],size std,size normalized std,size min,size max,size unique count,size correct: avg,keypoint size correct/all ratio,total number of keypoints,correct matches per sequence: mean,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP [%],Matching average response mAP [%],Matching distinctiveness mAP [%],Verification distance AP [%],Verification average response AP [%],Verification distinctiveness AP [%],Retrieval distance mAP [%],Retrieval average response mAP [%],Retrieval distinctiveness mAP [%],distance-to-distinctiveness correlation,distance-to-average response correlation
AKAZE+BRIEF,0,0.45547757226068925,0.2136864616840323,247530,122923,84205,0.3401809881630509,0.6850223310527729,9.254782105628752,4.879239189950845,0.5272127570657007,4.800000190734863,64.58084869384766,109,9.108820088190999,0.9842284760708759,327462,732.2173913043479,398.3180896809832,0.5368257611340082,1.0318057953949582,0.21566543651050596,0.44204201388316927,2.0496655423115775,3.769777400719105,8.014978429521125,0.26142153078795793,1.4464054364018684,0.03967599886882398,0.0007362983195772222,0.7338444123996436,0.4324077314334372,0.7621490780763674,0.6944746931249642,0.10028669263190523,0.6352986544083995,0.9131184804462794,0.797336933711845,0.9289061278894432,0.5440325379334612,-0.0005745450865341555
AKAZE+DAISY,0,0.45547757226068925,0.2136864616840323,229096,122923,81781,0.35697262283060377,0.6653026691506064,9.271440166857097,5.251362629524432,0.5664020405693433,4.800000190734863,64.58084869384766,101,9.31811224141006,1.005033961683731,327462,711.1391304347826,379.4536320864404,0.5883652183439453,1.0427524430124955,0.020110656214748297,0.020189430083167866,1.0039170212835622,4.646401508537905,9.460979094195283,0.40406695931817904,2.4034570731984393,0.05873956769214653,0.002787933627615216,0.7300869707852368,0.443862047149229,0.7326236809352145,0.5902168522577226,0.10304877231415871,0.3884417812697382,0.9224195181313849,0.8630787195959055,0.9547524244888995,0.524852014934868,-0.13661784383515796
AKAZE+FREAK,0,0.45547757226068925,0.2136864616840323,243699,122923,73711,0.30246738804837114,0.5996518145505723,9.193871755329056,4.735695851622854,0.5150926592899119,4.800000190734863,64.58084869384766,112,9.678850343839322,1.052750201592616,327462,640.9652173913043,340.0246520585845,0.626078389304438,1.0087416074603508,0.23554065757475368,0.5100994498990438,2.1656535018254894,3.9837873770511982,8.313023052929369,0.2850727842520112,1.7226802256702325,0.04347165971136525,0.0011531521753876627,0.7387845499127981,0.3769082513275043,0.7622176860477382,0.6159862292368844,0.07993423799712047,0.5227045096328551,0.9121560802934662,0.6734862992060191,0.925637204586137,0.526205000954471,0.08951506945782592
BRISK+BRISK,0,0.44452102495670787,0.1894318245974727,264832,124898,74468,0.281189584340261,0.5962305241076719,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,247675,22.271243416636153,1.0504746248955141,338095,647.5478260869565,337.18580204980424,0.6081180488812937,1.014303955143119,0.34555662534608506,0.771780316990984,2.233440948261442,3.7249388291445142,7.81982128412173,0.21646881882150723,1.3056052107879144,0.03708388714354761,0.0004968577106945265,0.8168262376779375,0.3901488919492209,0.8240067425825671,0.7361673492183363,0.1077971788053702,0.7391737210270345,0.9475629249270748,0.6824170089844261,0.9447857292310362,0.6925110759941796,0.05059858051769402
BRISK+ORB,0,0.4460274059906915,0.18893250992074,266283,125162,64854,0.24355291175178287,0.5181604640386059,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,248864,22.11435964741517,1.0362288964369917,337835,563.9478260869565,323.2695427625108,0.6314297322964781,1.0056107730643566,0.19597224345405723,0.5032815872038469,2.5681268853863672,3.4918751854230274,7.412980810320484,0.22926881919388165,1.392269926290065,0.032867287810337126,0.0006784469732013446,0.7357044180735374,0.34107014801780994,0.7850322523782652,0.6311084126895428,0.09084546632510909,0.7035469267494239,0.8824337487223411,0.6124418037037357,0.9110850872519248,0.8053262974638757,0.054549136819028204
BRISK+SIFT,0,0.44452102495670787,0.1894318245974727,252374,124898,80558,0.31920086855222807,0.6449903120946693,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,235294,21.812958563098327,1.0437721569117437,338095,700.5043478260869,337.23021098129345,0.638844875394441,1.019183534142478,0.4133740374957823,0.8423983131181199,2.037859750992985,5.371813261270971,9.95420472199452,0.2823183296506865,1.6963436546998425,0.0671978888475041,0.0012537550584671914,0.8125089618946226,0.41951326179555004,0.8167545185519959,0.7371573346992651,0.12358204294335784,0.7094100345736629,0.9613994456563549,0.7664269044268551,0.9577266202955027,0.5916963632196596,0.042257558895035095
BRISK+BRIEF,0,0.44586990638912205,0.18901818540114235,255950,125163,77037,0.3009845672983005,0.6154933966108195,21.390298849300706,11.69565697495276,0.5467738930321264,8.399999618530273,72.0,238768,21.44823988308108,1.0027087528878667,337929,669.8869565217391,377.271572471456,0.5410058510490843,1.0145280362019236,0.18445935667461605,0.4123023768063228,2.235193617928631,4.5976323500683725,8.846928574648889,0.3632410400197308,1.75801715665126,0.05153740965032233,0.0010514428131936603,0.6959837421176284,0.39795141900620146,0.7475475880562965,0.6571289300686879,0.11632937349347683,0.6435067782164929,0.8857533209541719,0.7569485446340035,0.9152714832112215,0.579608699381114,0.03347990624118054
BRISK+DAISY,0,0.44452102495670787,0.1894318245974727,231096,124898,77304,0.334510333367951,0.6189370526349501,21.135659214512444,12.136916590669939,0.5742388476029331,8.399999618530273,72.0,215415,21.420976939099454,1.0134993529982306,338095,672.2086956521739,379.576961220782,0.6208478001167362,1.0224336816358146,0.020097873665682164,0.020182996586758317,1.004235419253406,5.634805448817807,10.40756425214869,0.5885335817034048,3.01130643084602,0.07443227057153737,0.004242988719859257,0.6962354018343372,0.43215592236869177,0.7521880178464491,0.5463990168262296,0.12044545085846148,0.45474647962859155,0.9096555287849529,0.8245893276267157,0.9355346941803652,0.5967945087680767,-0.06629582858824216
BRISK+FREAK,0,0.4417983536222466,0.18890964762653284,256647,122266,79922,0.31140827673808774,0.6536731388938871,19.57487541469129,9.638696572059306,0.49240142620909316,8.399999618530273,72.0,240923,20.603178185972258,1.0525317658220805,333677,694.9739130434782,352.10656640011615,0.5981690412846983,1.0234098898438628,0.34635508357574496,0.7356880996328159,2.1240863337059324,3.9261320023222557,8.182969131348553,0.22540727209028802,1.3562068110755512,0.041492789707263285,0.0005755611721428393,0.8166086103318474,0.4233959931722702,0.8228518625388426,0.7259188878761459,0.12294783221853732,0.6927396530206904,0.941873655750859,0.7214177763043789,0.9402616144169258,0.5959628781690094,0.04659322576906281
FAST+BRISK,0,0.37712695652173905,0.2107953210114078,270725,108424,58225,0.2150706436420722,0.5370121006419243,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,506.30434782608694,355.67917086862434,0.6085848991414069,1.0133471672835879,0.32256447998308824,0.7801366694709276,2.418544873607378,3.9162360328746884,8.15933294676597,0.18650064405324174,1.308884260672259,0.04171022255055869,0.00046371833404894807,0.6712582938873269,0.3067221801172183,0.71291354317307,0.6158941380185998,0.08213376628241514,0.6972582491534316,0.9049149547847163,0.6548551521175001,0.9054417253899466,0.7018014977138876,0.041452278637702664
FAST+ORB,0,0.3798226086956522,0.2102303246486823,269485,109199,77737,0.2884650351596564,0.7118838084597844,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,675.9739130434782,414.40222974197775,0.5605785791258483,1.0314213404992525,0.21900188488124572,0.5408532292922464,2.469628193316808,4.283733788522552,8.537866451391709,0.2037125178486435,1.4958424554139627,0.046622260979275285,0.0007718332325662168,0.6723023116358419,0.40443050595623586,0.7843792705511615,0.6026124311596616,0.12051948366980153,0.7706733968424309,0.8975487118208478,0.810693834033763,0.935890361892639,0.55194142060372,0.014334519087610216
