combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
GFTT+ORB,33.319530677654626,53.77217391304348,72.95269646394888,0.1792405797101449,0.24317565487982956,142860,30919,3454,0.04983159972908258,0.1380322961963478,0.051771498931232056,0.039326162012244974,0.03346168286535346,0.039586879282129,0.26193652408797413,0.20472622747955432,0.3020391595014306,0.5591000089906388
GFTT+SIFT,22.07135939855188,53.82782608695652,72.96426707085561,0.17942608695652174,0.24321422356951872,142231,30951,26581,0.37240091099214173,0.23903305770083397,0.3755636277417268,0.3325946860370052,0.026536476659062443,0.28164153825829263,0.4790052642632024,0.4479389529434157,0.471921894734072,0.5530492146304095
GFTT+SIFT_HIGH_SIG,10.369616114666007,53.82782608695652,72.96426707085561,0.17942608695652174,0.24321422356951872,139043,30951,19613,0.31106953699344114,0.1795734177013018,0.30056924637882737,0.23143788504271526,0.01835217179455551,0.12357169073711986,0.4451062723856325,0.35923612113797565,0.4242632114010592,0.42001235154466376
ORB+ORB,78.20690562051584,82.25217391304348,80.82419391098843,0.2741739130434783,0.2694139797032948,146670,47295,23684,0.38543026540176073,0.19183369412878584,0.37990979051252094,0.25305338223574614,0.012868873234444609,0.196432018672095,0.49065046146619656,0.29458920368280456,0.4959195219559458,0.614712047974441
ORB+SIFT,22.63819285506744,82.25217391304348,80.82419391098843,0.2741739130434783,0.2694139797032948,127997,47295,29769,0.41926885042785705,0.24889642739003295,0.3966496395202883,0.3351553198919898,0.015582567458884028,0.17764979667532604,0.562727632737935,0.40557955592202655,0.5434641450694633,0.3729621151595223
ORB+SIFT_HIGH_SIG,9.145824149714194,82.25217391304348,80.82419391098843,0.2741739130434783,0.2694139797032948,133458,47295,28200,0.4271864665034089,0.2382529498266455,0.37171410312477365,0.30145949241287556,0.015905730484969616,0.11596323452021201,0.5124562221145871,0.38254720815811366,0.4962877179101508,0.5942517771556004
SIFT+SIFT,3.9732221228532487,41.829565217391306,58.569457798134735,0.13978919631093545,0.1955714086149346,140606,24052,18699,0.3350088477129561,0.16834556369560147,0.3654719317674515,0.26826862909829563,0.015312017743785808,0.27050229290835914,0.4881323796003278,0.3971890383233546,0.48265524540507093,0.5951200834382274
SIFT+SIFT_HIGH_SIG,1.902532122410951,41.829565217391306,58.569457798134735,0.13978919631093545,0.1955714086149346,144267,24052,14484,0.25876351851803003,0.13300846653756465,0.28886897221162844,0.15738082504184725,0.01295256528534733,0.1410195516130585,0.4211648296313828,0.30631782362676374,0.40312864132994897,0.4991545129911345
SIFT_HIGH_SIG+SIFT,1.876761379823761,46.78782608695652,56.22285029482321,0.19476425054861446,0.2240078678506086,123633,26903,21597,0.4449432277862809,0.24791485696017235,0.4471978288174227,0.39705900934784394,0.018614790487053324,0.3705398528291147,0.5803157834715245,0.4762169293843491,0.5904456443916307,0.6836580742733422
SIFT_HIGH_SIG+SIFT_HIGH_SIG,1.2377430867411268,46.78782608695652,56.22285029482321,0.19476425054861446,0.2240078678506086,128682,26903,20636,0.4236339701069019,0.23180363374234755,0.4306836933149867,0.34004759416305497,0.016617282425437235,0.3305546975880666,0.5797743401047986,0.43950075429908125,0.5602889709807183,0.7031526962249147
