trial,GFTT_qualityLevel,GFTT_minDistance,GFTT_blockSize,GFTT_k,value
238,0.5546722876178846,0.1517731740748361,8,0.017983296556334672,0.8238885814530681
239,0.32760468472174104,1.5739916982912023,4,0.3511537016839674,0.7402227022297472
240,0.8863095846846094,5.971138908449163,4,0.16739824897605501,0.5091518288474811
241,0.7944031339458072,1.0206073342490085,6,0.19446526439490502,0.769736606741751
243,0.05949237831473522,3.4089593550910022,8,0.28424165015740266,0.818892726308109
244,0.32886456085570226,4.396791725121365,1,0.09136233327363967,0.12202883019978729
246,0.5723003989559593,5.9189166725357625,2,0.14744523489430622,0.5179668435527027
247,0.2737977391628396,5.228979785764273,3,0.3765089810656749,0.6053580356467207
248,0.18691531642843104,8.046168766977534,5,0.19525567334580068,0.7378627859487332
249,0.4374138519125644,7.322131463658727,8,0.06692763439706402,0.8282202913586932
250,0.9566580064623745,0.7826843619285697,1,0.11574608157850727,0.1348230652651232
251,0.27267777640250235,7.61804279793784,5,0.31157738055425177,0.7898892951945037
254,0.25727353238180356,6.576328554593337,2,0.22787078081035753,0.4148351363771221
255,0.11498168910304545,1.5973436044758522,3,0.10338279789075801,0.6613944360869801
256,0.8602795536560855,7.255861601763988,1,0.2843026985029884,0.12999946236572546
257,0.16660876562311247,9.462411655302795,9,0.2689328455823269,0.8360959602417043
258,0.06321083277600373,5.173776222826284,9,0.1858589915283954,0.8351123469167481
259,0.1655416470788636,3.369129142227826,8,0.2096768003635592,0.8328947982612736
260,0.23955741517015774,4.567269507391782,10,0.3097169406187562,0.8446754571371655
261,0.5391630961547615,5.028343829539473,2,0.26408492147082047,0.4468148637865365
262,0.2045626926685614,5.280963348827939,3,0.3179703499374004,0.5725317003683337
263,0.9151749783386361,5.376985785736785,2,0.27957605079484577,0.255072463768116
264,0.2776275828904311,9.836862579880698,2,0.08399820468738603,0.4212072270442815
265,0.4408830949499806,6.1914504481910395,1,0.35343688188930616,0.1173991716268826
267,0.5601959279547442,5.321256259014495,8,0.3565421889950497,0.8298693496712786
268,0.8192444503477945,5.453858174356889,8,0.12848264482076435,0.7645585632574644
269,0.4947182348030496,8.299667599128462,4,0.07280959088175455,0.7567797491984258
270,0.14283001777123291,3.54461997466345,5,0.30053522943746935,0.7843854826214302
271,0.4718158802307664,9.79313888635003,7,0.05400083765954308,0.8146018039084626
272,0.17570655573878344,8.571798863167285,3,0.3354682855962043,0.6824732203265641
273,0.30600536602003453,2.2051793260738517,1,0.12436277489132663,0.11482996812120036
275,0.46089791293072435,8.659179734274433,6,0.15463861739228224,0.8117175464239462
276,0.7401642166461634,9.188957866771592,3,0.3439033040124519,0.6514791137589574
277,0.018988549044854044,9.631822535032857,8,0.1246814337729088,0.7893885493831301
278,0.7039822914833349,5.452914918784612,1,0.09978995599050025,0.12986198775602223
279,0.29794056990090856,3.0691992039191485,8,0.023064563047427968,0.8335891790237621
280,0.8924101956415126,1.9347687773342732,1,0.0988460272841771,0.1384108906519619
281,0.8558403977437019,5.262312321531535,1,0.3332239116967411,0.09919580731263389
284,0.23819603490643146,5.172401397703327,2,0.15626648574734578,0.4467199367521625
286,0.14088407345576437,2.8404616471339272,10,0.1352134148128081,0.8306235257640541
287,0.20778558585998835,5.214069021615193,1,0.00703495692909323,0.09974697757457317
288,0.8027830939002331,5.763281569356078,6,0.12022157399041618,0.7369761558322492
289,0.1147245550831248,3.517709113736752,6,0.35019211977532966,0.7811578483115109
290,0.27545679399399997,4.006303148416699,5,0.16676434580515614,0.7923808429375392
0,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.09732135698228328
1,0.8326101981596213,2.202157195714934,2,0.0766281859019598,0.3588005832824406
2,0.612241041827657,1.4809892204552142,3,0.14907928994430192,0.6838291981812774
4,0.30530915540419734,1.0669539286632004,7,0.17830038752088212,0.8148968881442921
5,0.2595212016184169,6.658970615104422,4,0.2099469363864131,0.665314914316388
7,0.3892886123997925,2.78635541456157,9,0.14527431737066138,0.8487727404239973
