combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
SIFT+SIFT+0.50,21.82782608695652,35.56216736150955,0.10913913043478261,0.17781083680754775,93871,12551,10527,0.3128064596972211,0.14411836067820163,0.3265566921301288,0.280666741582496,0.029784599672729964,0.2759339407702223,0.4710127174034651,0.39778892598394083,0.4691228418550527,0.5538007779979958
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.50,28.241739130434784,37.7952699654075,0.15801382685154583,0.20786033551403724,91537,16239,13733,0.39598731991832403,0.21287274042151294,0.3984067362501623,0.35639238408310564,0.03578574956016002,0.3421066661802331,0.49726737380384334,0.42417251856442906,0.48558390241419896,0.6404414091797473
AKAZE+AKAZE+1.00,44.888695652173915,54.55117862707482,0.22978270292341638,0.27796760829192474,98329,25811,17095,0.4162062945553774,0.219953024452962,0.41607670740740155,0.36499481031095277,0.03063677752269652,0.334895648239059,0.5273737166547957,0.3974566262909389,0.5162463769440533,0.7160661959894575
KAZE+KAZE+1.00,42.3304347826087,50.235639823800554,0.21505652173913042,0.25447667327296547,91640,24340,15544,0.40116930277526547,0.20125359972150775,0.3979460039092889,0.3506026388125998,0.028902733930055914,0.3004749976909301,0.5182742375515278,0.3904679061436759,0.5012551395325754,0.7391675410911808
ORB+ORB+1.00,50.99130434782609,53.30360876145563,0.2549565217391304,0.2665180438072781,98080,29320,15360,0.38302061884462985,0.1910509486330829,0.37442902262681804,0.2885521257215527,0.028771827635259328,0.2330748688115316,0.4740723367731652,0.28499174897809454,0.48606444942809357,0.6505247002381885
SIFT+SIFT+1.00,26.714782608695653,38.28540928451955,0.13357391304347824,0.19142704642259775,93871,15361,12138,0.337197558701363,0.16648035952165993,0.3617986738754518,0.2939501859475892,0.03153025277128619,0.2932186283559674,0.5021598267794841,0.40797419444363137,0.4946156834695035,0.5966614296916876
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.00,34.35130434782609,41.03082693741673,0.19070285560995723,0.22420026897365264,91537,19752,15609,0.42409903954324707,0.23301948700484798,0.4337350834639752,0.3714710392346263,0.035340528785757934,0.3603100435045251,0.5659371578860273,0.44374899606082496,0.5464997392965522,0.6837326588142318
AKAZE+AKAZE+2.00,50.98086956521739,55.78095030236721,0.26058514970436036,0.28391763590952473,98329,29314,18122,0.42910358343990396,0.23119544975032016,0.43064140571931314,0.368552829106003,0.030501236634113103,0.3367251027507981,0.5354699984028909,0.38451137074189956,0.5191512851362649,0.7046650465621574
KAZE+KAZE+2.00,49.57739130434783,51.906107642415364,0.2515391304347826,0.26290666344959834,91640,28507,16962,0.4146396926600136,0.21694671041108768,0.4157947004631141,0.3506336476161771,0.028683769185161277,0.29662996411513387,0.530834552412747,0.3745247684435054,0.5300320546486195,0.7018899852736483
ORB+ORB+2.00,63.509565217391305,54.01484010885228,0.3175478260869565,0.2700742005442614,98080,36518,17167,0.3899566638253387,0.21101768304716959,0.37736248602189315,0.28308584753526916,0.029449075639775037,0.22170902754369784,0.48801208777061394,0.23860580844294205,0.5117319289531256,0.6616938532782738
SIFT+SIFT+2.00,30.782608695652176,39.650249762620476,0.15391304347826087,0.19825124881310238,93871,17700,13154,0.3605524187349856,0.1798882721842819,0.39498853419225877,0.3070231538460421,0.03172802984141566,0.30831741923058015,0.5177693261318641,0.40205992977080535,0.5088526726185709,0.5956643926212891
SIFT_HIGH_SIG+SIFT_HIGH_SIG+2.00,40.944347826086954,41.806224190859524,0.22566743445289286,0.228575643868694,91537,23543,16460,0.43002459135660714,0.24411517880403846,0.44013763056224525,0.3663072793160643,0.03494616172805804,0.354070341213648,0.6197756832386863,0.4499157244771759,0.5975690708750058,0.6485217245057031
AKAZE+AKAZE+4.00,61.06086956521739,56.12877847554586,0.3116749644682806,0.2854570116389236,98329,35110,19102,0.4331504095204519,0.24220034964169698,0.43609737456081454,0.35784759315534365,0.029849706233475878,0.32204135065478634,0.5655821122267486,0.3708474255143569,0.5468301453307455,0.7277227319432017
KAZE+KAZE+4.00,60.805217391304346,52.843463408001,0.3082782608695652,0.2684424737282147,91640,34963,18583,0.41800083619960476,0.2345303024238675,0.4223165239511807,0.3348891043333849,0.028856904769264155,0.27721094061747903,0.5678056665017768,0.361894904181989,0.5421921474859108,0.6614495672537826
ORB+ORB+4.00,79.85913043478261,54.007142676811014,0.39929565217391305,0.2700357133840551,98080,45919,21405,0.40962979054752474,0.25356383291406304,0.3986144357859296,0.2762029206739801,0.03402579366428211,0.21292571499654298,0.49677797319093103,0.20397967927401173,0.5409042611124816,0.7301378479629979
SIFT+SIFT+4.00,37.307826086956524,43.06970113831378,0.18653913043478262,0.21534850569156888,93871,21452,13781,0.3700780985442103,0.18753854065132,0.40918314072206863,0.30837185887448976,0.02919420594392337,0.3071469950755307,0.5560604262518059,0.39935729862283137,0.5536145492874592,0.6281175716533346
SIFT_HIGH_SIG+SIFT_HIGH_SIG+4.00,55.86086956521739,45.27959266918525,0.304906947325182,0.24754953135225108,91537,32120,17319,0.43736351327636347,0.2554604805486303,0.4485233002716568,0.35853708947987684,0.030907523539902833,0.34567246253101885,0.6523039278925372,0.40836801807170436,0.6432957708208606,0.6937108307531712
AKAZE+AKAZE+8.00,76.07304347826087,55.19450086303751,0.3875729534907461,0.2802218179993117,98329,43742,20251,0.43676093186632325,0.25646889032754,0.4409255977578227,0.3503292181596455,0.03012843699127797,0.3150996123301691,0.5813797965630741,0.3176867501229757,0.5739370914976142,0.7426531074851311
KAZE+KAZE+8.00,77.16521739130435,52.3845530558941,0.39048260869565216,0.2661048659787012,91640,44370,20280,0.4249808409367048,0.2569305038292701,0.4301143088168761,0.3241130121185826,0.02943884476452375,0.2634496783952062,0.5821828373833451,0.3101142185107495,0.5647824547733608,0.6721143204491469
ORB+ORB+8.00,96.51130434782608,51.77915774285582,0.4825565217391305,0.25889578871427915,98080,55494,30585,0.4860842469050842,0.3455121797521035,0.470613432835135,0.30038605718179245,0.04398834513244606,0.2257250818829102,0.47964474356830405,0.16152876996978444,0.5628431287787781,0.7714866421699774
SIFT+SIFT+8.00,47.057391304347824,46.8679756445784,0.23528695652173917,0.234339878222892,93871,27058,14468,0.3789380234877655,0.19869683743412403,0.4129016059597239,0.3040496379510835,0.02793511381851347,0.2967600450758575,0.6112374447834703,0.3531887297940522,0.6075821579141901,0.6416365358490492
SIFT_HIGH_SIG+SIFT_HIGH_SIG+8.00,76.55652173913043,47.80118086668495,0.41320387728470354,0.25949546600709333,91537,44020,18937,0.44839926311858636,0.2739835331132905,0.4552857923259422,0.3515166290698133,0.031233070687995513,0.33125805708829903,0.7030173749247787,0.33598169783861787,0.6893505904190508,0.7280217255281283
AKAZE+AKAZE+15.00,92.68173913043478,53.46327074463884,0.4711654985041342,0.2699087946895391,98329,53292,22356,0.4488796226455586,0.27966562754778634,0.45202475370102385,0.34748064265245204,0.03183038559839353,0.30979499446741426,0.5886653765836375,0.26566657133350313,0.6026320400359038,0.7456999181339529
KAZE+KAZE+15.00,94.57565217391304,50.39621205797178,0.4777826086956522,0.2555155838898794,91640,54381,23131,0.43962885069650465,0.29161373673266244,0.44373720211822765,0.31845937675653757,0.03204787033593011,0.2554852167116566,0.6039852778454542,0.2466142749430494,0.599406579318989,0.7202186295175727
ORB+ORB+15.00,107.13565217391304,48.68945817749616,0.5356782608695652,0.24344729088748077,98080,61603,45571,0.5957907930716062,0.49026662342202726,0.5831833936749767,0.3211459053627944,0.05926182491952616,0.23652568777632946,0.42456945292709114,0.12670680539648227,0.5205011842952587,0.7910774619384623
SIFT+SIFT+15.00,59.14434782608696,49.46673927135168,0.2957217391304348,0.2473336963567584,93871,34008,15518,0.3930211866850061,0.21081220285115748,0.42314508485068636,0.3029148236427669,0.027707188918877107,0.2928456654053155,0.6291575289893532,0.3081625933189009,0.6390828585839989,0.6344147897686205
SIFT_HIGH_SIG+SIFT_HIGH_SIG+15.00,96.51478260869565,47.56783027558282,0.516967800481331,0.2555122140896363,91537,55496,21657,0.4746743634979369,0.30414191176555605,0.4799679967864998,0.3543492906784114,0.0326931272897163,0.3286142803033769,0.704373778855463,0.26682735975347116,0.6821178368861581,0.7607811876416115
AKAZE+AKAZE+30.00,109.56173913043479,50.65634529567402,0.5563355136590996,0.25419514248545527,98329,62998,28005,0.49383719662436104,0.33640217904305353,0.49355601012250916,0.36089408777003645,0.038045457621934224,0.3151505037590371,0.5595364211572573,0.20284423329122975,0.593122782853523,0.7733076172897702
KAZE+KAZE+30.00,112.56173913043479,46.660504819589164,0.5679217391304346,0.23593501860824112,91640,64723,29537,0.4954952259269854,0.364347458984886,0.4953647790823534,0.33427699990866566,0.039143683426436114,0.2617096633258075,0.609048791583336,0.19891404413461145,0.5711165386015866,0.7553415664543695
ORB+ORB+30.00,112.25565217391305,47.1304096261765,0.5612782608695652,0.2356520481308825,98080,64547,64226,0.7234810586705077,0.670567199417334,0.7156042861600027,0.32811504581484224,0.07817067080508235,0.24016801343881503,0.36374100834611667,0.10038154950576916,0.47548329204577755,0.7951745651712225
SIFT+SIFT+30.00,75.8904347826087,50.89607651046189,0.3794521739130435,0.2544803825523094,93871,43637,17769,0.41799667104994026,0.24427077444506207,0.4371162662536056,0.3056276649665604,0.031744717779152366,0.28123680013485974,0.5957671610410831,0.25715743387707163,0.617780081153648,0.668216889997967
SIFT_HIGH_SIG+SIFT_HIGH_SIG+30.00,112.75826086956522,45.15864591994817,0.600371337447735,0.23809382613519967,91537,64836,28347,0.5421419443891259,0.3718043987055132,0.5421514503994173,0.3803071910410486,0.03923170359702101,0.34315754603636156,0.6546727189236369,0.19501561745621998,0.6890360521575616,0.7829048005537205
AKAZE+AKAZE+50.00,118.61565217391305,47.66028442562204,0.6020737206617929,0.23823552799481573,98329,68204,35450,0.5499164106843003,0.40875203611086314,0.5485952801699733,0.3727657023468926,0.045710947740746896,0.32242794332945895,0.5802302164982264,0.17153803988448277,0.6102092853988951,0.7897191981331103
KAZE+KAZE+50.00,122.88521739130435,42.81816811360471,0.6196434782608696,0.21610324389671784,91640,70659,37106,0.5699647184517179,0.44705782890464185,0.5660892943534303,0.36075021007052377,0.047838100209829454,0.2785656249181688,0.5975673126030019,0.1635892094835982,0.5463092210224865,0.78101148120375
ORB+ORB+50.00,111.9408695652174,47.582678426086716,0.559704347826087,0.23791339213043358,98080,64366,70834,0.7665383878179972,0.7401058988005205,0.7606691210621671,0.32530091011471773,0.08608806789647287,0.23805386964254235,0.32992516104125635,0.10018995110386915,0.45213953915704663,0.7956517562175878
SIFT+SIFT+50.00,89.42086956521739,50.01318347179058,0.44710434782608705,0.25006591735895295,93871,51417,20571,0.4415266257393195,0.2652564134765124,0.456046973656935,0.30841533327539744,0.03365942336103074,0.2768882625380495,0.5607322713801454,0.21211536819230017,0.6266833773278476,0.6927001607603032
SIFT_HIGH_SIG+SIFT_HIGH_SIG+50.00,119.68173913043478,42.623217968835995,0.635348644437822,0.22113393928456204,91537,68817,36303,0.6075552901525962,0.4500050556035251,0.6034039255762141,0.3993274767358222,0.04793498712014167,0.35199670347135464,0.6306181389006723,0.15836501498787278,0.6825481257960185,0.8008807943130613
